ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000198801,0.0,0.0,0.0,0.0,0.0,['hsa00561'],1.0
ENSP00000199280,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000199320,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000199389,0.0,0.0,0.0,0.0,0.0,['hsa04141'],2.0
ENSP00000199447,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000199448,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000199706,0.0,0.0,0.0,0.0,0.0,['hsa03010'],1.0
ENSP00000199708,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000199764,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000199814,0.0,0.0,0.0,0.0,0.0,['hsa03040'],1.0
ENSP00000199936,0.0,0.0,0.0,0.0,0.0,"['hsa00140', 'hsa04913']",1.0
ENSP00000200135,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000200181,0.0,0.0,0.0,0.0,0.0,"['hsa04151', 'hsa04510', 'hsa04512']",1.0
ENSP00000200453,0.0,0.0,0.0,0.0,0.0,['hsa04141'],1.0
ENSP00000200457,0.0,0.0,0.0,0.0,0.0,['hsa04621'],1.0
ENSP00000200557,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000200652,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000200676,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000200691,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000201031,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000201586,0.0,0.0,0.0,0.0,0.0,['hsa00140'],1.0
ENSP00000201647,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000201979,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000202017,1.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000202556,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000202625,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000202677,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000202816,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000202967,0.0,0.0,0.0,0.0,0.0,['hsa00760'],1.0
ENSP00000203001,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000203407,0.0,0.0,0.0,0.0,0.0,['hsa00190'],1.0
ENSP00000203556,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000203629,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000203630,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000203664,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000204517,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000204549,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000204566,0.0,0.0,0.0,0.0,0.0,['hsa04144'],1.0
ENSP00000204604,0.0,0.0,0.0,0.0,0.0,['hsa04350'],1.0
ENSP00000204615,0.0,0.0,0.0,0.0,0.0,"['hsa04060', 'hsa04630', 'hsa04640']",1.0
ENSP00000204679,0.0,0.0,0.0,0.0,0.0,['hsa04142'],1.0
